date,SPY,XLK,XLF,XLE,XLV,XLI,XLP,XLY,XLU,XLB,XLRE,XLC,TLT,GLD
2012-01-03,99.05704498291016,10.700570106506348,8.311224937438965,21.391862869262695,27.605222702026367,26.45854949951172,22.0513973236084,16.60826301574707,10.905695915222168,12.813104629516602,,,79.93417358398438,155.9199981689453
2012-01-04,99.21239471435547,10.729589462280273,8.286307334899902,21.43702507019043,27.47166633605957,26.581287384033203,22.00383758544922,16.73910903930664,10.843976974487305,12.921029090881348,,,78.9837646484375,156.7100067138672
2012-01-05,99.47654724121094,10.7627534866333,8.398445129394531,21.334653854370117,27.550228118896484,26.588956832885742,21.990257263183594,16.878389358520508,10.865582466125488,12.958244323730469,,,78.84321594238281,157.77999877929688
2012-01-06,99.22016906738281,10.766900062561035,8.34860610961914,21.208206176757812,27.597375869750977,26.53525733947754,21.84759521484375,16.90371322631836,10.8069486618042,12.939630508422852,,,79.4655990600586,157.1999969482422
2012-01-09,99.46099090576172,10.750319480895996,8.392221450805664,21.310569763183594,27.64450454711914,26.73471450805664,21.88156509399414,16.878389358520508,10.822381019592285,12.965685844421387,,,79.32508850097656,156.5
2012-01-10,100.32341003417969,10.787633895874023,8.541747093200684,21.500253677368164,27.848752975463867,27.1182861328125,21.9562931060791,16.988126754760742,10.837811470031738,13.2075834274292,,,79.1912612915039,158.63999938964844
2012-01-11,100.37776947021484,10.820799827575684,8.641432762145996,21.211214065551758,27.872318267822266,27.20266342163086,21.861188888549805,17.013452529907227,10.788429260253906,13.337838172912598,,,80.22187805175781,159.6699981689453
2012-01-12,100.61859893798828,10.874698638916016,8.67258071899414,21.012500762939453,27.958730697631836,27.44048500061035,21.854387283325195,17.06409454345703,10.773001670837402,13.523914337158203,,,80.10816955566406,160.3800048828125
2012-01-13,100.0980453491211,10.812507629394531,8.61028003692627,20.907121658325195,27.833044052124023,27.225688934326172,21.83400535583496,17.042993545532227,10.766831398010254,13.434590339660645,,,80.90463256835938,159.25999450683594
2012-01-17,100.4865493774414,10.862257957458496,8.541747093200684,21.05465316772461,28.005874633789062,27.3637638092041,21.9155330657959,17.089418411254883,10.757573127746582,13.509025573730469,,,81.27943420410156,160.5
2012-01-18,101.5975341796875,11.01979923248291,8.67258071899414,21.400897979736328,28.162975311279297,27.6092586517334,21.96308708190918,17.363759994506836,10.754487037658691,13.661609649658203,,,80.29556274414062,161.60000610351562
2012-01-19,102.13359832763672,11.0985746383667,8.753576278686523,21.488208770751953,28.162975311279297,27.900760650634766,22.00383758544922,17.515703201293945,10.664998054504395,13.672771453857422,,,79.1912612915039,161.22000122070312
2012-01-20,102.5143051147461,11.111013412475586,8.809649467468262,21.491220474243164,28.162975311279297,27.73967742919922,22.010643005371094,17.372209548950195,10.68042278289795,13.613226890563965,,,78.29439544677734,162.07000732421875
