date,AAPL,MSFT,NVDA,GOOGL,AMZN,META,TSLA,AMD,INTC,CRM,ADBE,NFLX,JPM,BAC,GS,WFC,C,XOM,CVX,COP,SLB,JNJ,PFE,MRK,UNH,LLY,ABBV,PG,KO,PEP,WMT,COST,MCD,CAT,BA,GE,HON,UPS,DE,T,VZ,DIS
2012-01-03,12.310347557067871,20.872488021850586,0.32141685485839844,16.505542755126953,8.951499938964844,,1.871999979019165,5.480000019073486,16.95980453491211,24.869739532470703,28.56999969482422,1.031999945640564,23.56875991821289,4.484676837921143,72.80158233642578,19.012222290039062,20.83104705810547,48.87395477294922,61.083255767822266,34.43794631958008,48.541358947753906,43.68690872192383,11.407754898071289,22.973901748657227,40.64009094238281,30.455801010131836,,44.05487823486328,22.45331382751465,42.90047836303711,15.094026565551758,61.388336181640625,67.09820556640625,65.48522186279297,60.73109436035156,67.59457397460938,38.57746887207031,44.53643798828125,60.326107025146484,8.212093353271484,18.69704818725586,33.25661849975586
2012-01-04,12.376501083374023,21.363693237304688,0.3250797986984253,16.576732635498047,8.875499725341797,,1.8473329544067383,5.460000038146973,17.353734970092773,23.9555606842041,28.280000686645508,1.1492860317230225,23.718055725097656,4.492409706115723,72.32826232910156,19.099157333374023,20.713397979736328,48.88530731201172,60.97808837890625,34.275447845458984,48.17431640625,43.42164611816406,11.303908348083496,22.997901916503906,41.2320671081543,29.661609649658203,,44.03509521484375,22.312467575073242,43.12015151977539,14.938904762268066,61.00379943847656,67.47157287597656,66.09142303466797,60.82109832763672,68.33087921142578,38.54276657104492,44.34425735473633,61.20845031738281,8.225606918334961,18.452327728271484,33.72537612915039
2012-01-05,12.513906478881836,21.582014083862305,0.3367551863193512,16.346790313720703,8.880499839782715,,1.8079999685287476,5.460000038146973,17.554157257080078,24.272571563720703,28.479999542236328,1.1328569650650024,24.213470458984375,4.8790178298950195,72.2060775756836,19.406776428222656,20.96339988708496,48.73755645751953,60.380367279052734,34.00149917602539,47.14240264892578,43.36860656738281,11.215633392333984,23.237834930419922,41.50830841064453,29.362876892089844,,43.85050582885742,22.20682144165039,42.78418731689453,14.866353034973145,60.41598129272461,67.7702865600586,66.55828857421875,60.16648864746094,68.29407501220703,38.58441162109375,43.911869049072266,62.09840774536133,8.217497825622559,18.325267791748047,34.28964614868164
2012-01-06,12.644725799560547,21.917287826538086,0.33286333084106445,16.123794555664062,9.130499839782715,,1.7940000295639038,5.429999828338623,17.45049476623535,24.83533477783203,28.719999313354492,1.232714056968689,23.99629783630371,4.778500080108643,71.32047271728516,19.353275299072266,20.992807388305664,48.37384033203125,59.943145751953125,33.73684310913086,46.94154739379883,42.990631103515625,11.200063705444336,23.075883865356445,41.658260345458984,29.05687141418457,,43.74502944946289,22.065969467163086,42.24791717529297,14.761268615722656,58.87040328979492,68.2929916381836,66.72554016113281,60.53470993041992,68.6622314453125,38.29985427856445,44.12808609008789,62.600440979003906,8.179617881774902,18.272830963134766,34.64556121826172
2012-01-09,12.624663352966309,21.628793716430664,0.33286333084106445,15.440164566040039,8.928000450134277,,1.8166669607162476,5.590000152587891,17.6025333404541,24.759157180786133,28.530000686645508,1.4025709629058838,23.95557975769043,4.848089694976807,72.29007720947266,19.594017028808594,21.38252067565918,48.589786529541016,60.59621810913086,33.866851806640625,47.66181182861328,43.05692672729492,11.32986831665039,23.02788734436035,41.61091613769531,29.00587272644043,,43.929603576660156,22.065969467163086,42.46759796142578,14.806303024291992,57.33207702636719,67.64129638671875,67.65922546386719,60.9847526550293,69.43536376953125,38.619117736816406,44.110042572021484,62.927520751953125,8.174104690551758,18.291893005371094,34.50666046142578
2012-01-10,12.66987133026123,21.706756591796875,0.3314896821975708,15.457033157348633,8.967000007629395,,1.841333031654358,5.710000038146973,17.685462951660156,25.751976013183594,29.200000762939453,1.36899995803833,24.464557647705078,5.126450061798096,75.06900787353516,19.667585372924805,22.059001922607422,48.714820861816406,60.358245849609375,34.02473068237305,48.99843978881836,43.23598098754883,11.392181396484375,23.10586929321289,41.531982421875,29.38475799560547,,43.72526550292969,22.197219848632812,42.42236328125,14.771271705627441,57.43364715576172,67.6820068359375,69.65211486816406,61.36933135986328,68.91993713378906,39.27156448364258,44.55445861816406,63.70338821411133,8.201664924621582,18.38724136352539,34.402496337890625
2012-01-11,12.649214744567871,21.61319923400879,0.32485082745552063,15.526984214782715,8.944999694824219,,1.8819999694824219,5.809999942779541,17.83059310913086,26.005102157592773,29.31999969482422,1.3164290189743042,24.878517150878906,5.312024116516113,76.16071319580078,19.808021545410156,22.992830276489258,48.35110855102539,59.64429473876953,33.4350471496582,48.58982849121094,43.18955993652344,11.371407508850098,23.039880752563477,41.83980178833008,29.129732131958008,,43.29677963256836,21.78746223449707,42.00239562988281,14.86134147644043,58.043182373046875,67.838134765625,69.4291000366211,61.1566162109375,69.50900268554688,39.18826675415039,44.806678771972656,64.27383422851562,8.265049934387207,18.544557571411133,33.595176696777344
2012-01-12,12.614490509033203,21.83151626586914,0.32279035449028015,15.618266105651855,8.796500205993652,,1.8833329677581787,5.820000171661377,17.796045303344727,25.970691680908203,29.229999542236328,1.3164290189743042,25.00745391845703,5.250165939331055,77.2677001953125,19.80133628845215,23.235475540161133,48.15788269042969,58.09465408325195,32.85466003417969,48.271263122558594,43.25587463378906,11.418145179748535,23.159852981567383,41.729305267333984,29.275449752807617,,43.382469177246094,21.630598068237305,41.75043487548828,14.886366844177246,58.0141487121582,68.27264404296875,71.03173828125,61.78664016723633,69.69306945800781,39.6949577331543,44.88474655151367,64.22820281982422,8.300878524780273,18.554094314575195,33.62120819091797
2012-01-13,12.56718921661377,22.02643585205078,0.31432008743286133,15.502923011779785,8.920999526977539,,1.519333004951477,5.659999847412109,17.374465942382812,25.533262252807617,28.969999313354492,1.3482860326766968,24.37632942199707,5.110985279083252,75.5499496459961,19.80133628845215,22.603118896484375,48.237457275390625,58.71453094482422,32.65964889526367,47.08699417114258,43.2757568359375,11.34025764465332,22.98589324951172,41.595123291015625,29.100582122802734,,43.382469177246094,21.444929122924805,41.60828399658203,14.896377563476562,58.493080139160156,68.123291015625,71.40801239013672,61.042030334472656,69.3617172241211,39.35484313964844,44.53643798828125,64.3955307006836,8.287100791931152,18.554094314575195,33.33475112915039
2012-01-17,12.713577270507812,22.034231185913086,0.3095124661922455,15.591974258422852,9.083000183105469,,1.773332953453064,5.730000019073486,17.30535125732422,25.420217514038086,29.350000381469727,1.3531429767608643,23.690919876098633,5.010467052459717,74.5727767944336,19.948448181152344,20.75016212463379,48.697792053222656,59.06317138671875,32.87321853637695,46.8445930480957,43.18292999267578,11.392181396484375,23.285818099975586,42.28181076049805,29.166149139404297,,43.67913055419922,21.560178756713867,41.76981735229492,14.973925590515137,59.08084487915039,68.25904846191406,72.02814483642578,61.56570816040039,68.99357604980469,39.67413330078125,44.56045913696289,64.58570861816406,8.33670711517334,18.601762771606445,33.404197692871094
2012-01-18,12.84559154510498,22.01084327697754,0.3200432360172272,15.699378967285156,9.472000122070312,,1.7873330116271973,5.96999979019165,17.547250747680664,26.467105865478516,29.889999389648438,1.4077140092849731,24.797082901000977,5.257897853851318,79.63436889648438,20.222639083862305,21.345760345458984,49.129703521728516,59.12405776977539,33.1982536315918,48.91532897949219,43.28902816772461,11.407754898071289,23.315807342529297,42.57383346557617,29.275449752807617,,43.87513732910156,21.637008666992188,41.89902877807617,15.013964653015137,59.32756805419922,68.94469451904297,72.97305297851562,61.418426513671875,70.02442932128906,40.389041900634766,44.99884796142578,65.58214569091797,8.35875415802002,18.597003936767578,33.872962951660156
2012-01-19,12.8048734664917,21.925073623657227,0.32851365208625793,15.864579200744629,9.72249984741211,,1.784000039100647,6.21999979019165,17.713106155395508,28.140653610229492,30.239999771118164,1.4780000448226929,25.061748504638672,5.38161039352417,82.20713806152344,20.162450790405273,21.566343307495117,49.45929718017578,59.179412841796875,33.09144973754883,50.45974349975586,43.22935104370117,11.34025764465332,23.549747467041016,41.295188903808594,29.26817512512207,,43.908363342285156,21.59218978881836,42.583885192871094,15.16407585144043,58.928443908691406,68.74105072021484,74.01591491699219,61.82757568359375,70.5030288696289,40.60421371459961,45.22706604003906,66.12980651855469,8.383559226989746,18.59222984313965,34.23756408691406
2012-01-20,12.581859588623047,23.164796829223633,0.3255375921726227,14.535524368286133,9.546500205993652,,1.773332953453064,6.420000076293945,18.2314395904541,28.062015533447266,30.5,1.4320000410079956,25.353557586669922,5.4666666984558105,83.01638793945312,20.423261642456055,21.794288635253906,49.72073745727539,59.15729522705078,33.0589485168457,51.110740661621094,43.28239440917969,11.371407508850098,23.513765335083008,41.25572204589844,29.00587272644043,,44.00802993774414,21.79706573486328,42.82293701171875,15.264154434204102,59.07358169555664,69.06688690185547,73.9389419555664,61.79482650756836,70.5030288696289,39.826820373535156,45.293128967285156,66.20587158203125,8.408360481262207,18.577932357788086,34.12470626831055
2012-01-23,12.79470157623291,23.180391311645508,0.33446580171585083,14.523865699768066,9.304499626159668,,1.7846670150756836,6.519999980926514,18.459503173828125,28.199630737304688,30.229999542236328,1.3422859907150269,25.557144165039062,5.605846881866455,82.59651184082031,20.6773738861084,21.948694229125977,49.7093620300293,59.22366714477539,32.761775970458984,51.36006546020508,43.103363037109375,11.272753715515137,23.25583267211914,41.38201904296875,28.707134246826172,,43.19071960449219,21.93792152404785,42.706634521484375,15.239133834838867,59.2404670715332,68.53057861328125,74.44985961914062,61.78664016723633,69.72989654541016,39.99341583251953,45.11894989013672,66.099365234375,8.378046035766602,18.306196212768555,34.0726203918457
2012-01-24,12.585151672363281,22.876304626464844,0.3420203924179077,14.410011291503906,9.350000381469727,,1.8279999494552612,6.53000020980835,18.59081268310547,28.882810592651367,30.950000762939453,1.3238569498062134,25.557144165039062,5.63677453994751,83.11561584472656,20.423261642456055,21.985469818115234,49.54454803466797,59.06317138671875,32.78501510620117,51.657867431640625,43.103363037109375,11.246795654296875,23.26182746887207,40.51380920410156,28.860145568847656,,42.85848617553711,21.736242294311523,42.77125549316406,15.359227180480957,59.3057746887207,67.037109375,74.39389038085938,61.663917541503906,69.3617172241211,40.00035858154297,45.0408935546875,65.73426055908203,8.292613983154297,18.01539421081543,34.0726203918457
2012-01-25,13.370955467224121,23.047832489013672,0.3399600386619568,14.126242637634277,9.390000343322754,,1.8646670579910278,6.730000019073486,18.59081268310547,29.032718658447266,31.34000015258789,1.357714056968689,25.51642608642578,5.683167457580566,82.65757751464844,20.195886611938477,22.029584884643555,49.5672721862793,59.62215042114258,32.49250030517578,52.765968322753906,43.24925231933594,11.277946472167969,23.201847076416016,40.70323944091797,29.064157485961914,,43.177433013916016,21.90591049194336,43.09431076049805,15.37923812866211,60.024169921875,67.36293029785156,76.32565307617188,62.0402946472168,70.4294204711914,40.33351516723633,45.41322708129883,66.75352478027344,8.325684547424316,17.967721939086914,34.34172821044922
